Id,No,ClientId,AccountTypeId
1,337941391078937,165,2
2,337941725200942,163,4
3,337941437181984,242,3
4,337941421254995,174,4
5,337941571164960,202,3
6,337941686327825,229,4
7,337941278795249,175,2
8,337941989893432,19,4
9,337941478844979,220,1
10,337941382844966,37,1
11,337941043889806,18,4
12,337941718495392,287,1
13,337941293982558,206,2
14,337941885780345,289,2
15,337941361722910,49,4
16,337941117696442,110,4
17,337941972759913,221,1
18,337941013592810,216,2
19,337941182057397,84,3
20,337941265889211,195,4
21,337941807418396,60,3
22,337941876227454,18,3
23,337941194336920,73,4
24,337941225615011,222,3
25,337941196253255,33,3
26,337941677183450,3,1
27,337941918217224,216,1
28,337941311718828,41,4
29,337941287966757,273,4
30,337941899259773,147,3
31,337941494461782,261,3
32,337941609441158,14,4
33,337941915246168,129,1
34,337941430970144,12,4
35,337941977156529,173,2
36,337941117251909,3,4
37,337941820586047,292,2
38,337941873130354,144,3
39,337941968006808,212,4
40,337941070654990,21,2
41,337941591580252,28,1
42,337941201472460,174,1
43,337941163265837,238,3
44,337941150452828,91,3
45,337941042836238,216,3
46,337941405501148,254,2
47,337941745326545,97,1
48,337941638757202,125,4
49,337941530372852,14,3
50,337941751630889,203,3
51,337941344887152,159,4
52,337941484823371,231,1
53,337941745705342,56,4
54,337941032901117,54,1
55,337941510756884,104,1
56,337941944145639,212,4
57,337941849683122,207,3
58,337941122333791,80,3
59,337941894845410,95,3
60,337941300848453,247,3
61,337941347854399,214,4
62,337941634967565,286,1
63,337941322528364,133,4
64,337941210621891,111,1
65,337941767887952,137,2
66,337941273511625,294,4
67,337941319493994,219,4
68,337941723902507,263,4
69,337941379931933,205,1
70,337941856266225,128,2
71,337941938135232,91,1
72,337941242672409,256,3
73,337941735113648,288,2
74,337941358645603,151,4
75,337941414977008,184,1
76,337941238706708,272,4
77,337941758365307,251,3
78,337941722261343,265,3
79,337941766124571,173,4
80,337941879999711,75,4
81,337941086829438,120,4
82,337941134625986,186,3
83,337941037216065,175,3
84,337941921207659,126,1
85,337941964108673,241,3
86,337941032441197,136,4
87,337941471558873,244,4
88,337941396944463,4,2
89,337941903436649,106,2
90,337941523689122,51,2
91,337941326028650,159,2
92,337941105000102,181,4
93,337941673852678,156,3
94,337941169255220,27,2
95,337941092375608,188,4
96,337941555276202,262,1
97,337941884088658,247,4
98,337941974736174,28,2
99,337941412431313,208,4
100,337941170792500,151,1
101,337941427916746,56,3
102,337941474591103,260,3
103,337941292887105,264,4
104,337941456159275,104,2
105,337941802511260,4,1
106,337941214692773,223,3
107,337941272739961,81,4
108,337941206664632,210,3
109,337941076653079,40,1
110,337941320569139,208,4
111,337941194868146,7,2
112,337941399777282,113,2
113,337941208122175,2,1
114,337941225464741,137,4
115,337941029979639,43,3
116,337941684535494,210,4
117,337941845646511,151,1
118,337941297579517,258,4
119,337941403000366,229,3
120,337941515405511,20,2
121,337941291014669,111,3
122,337941933570961,260,1
123,337941548698512,13,4
124,337941976495357,131,3
125,337941070407100,6,3
126,337941118130581,145,3
127,337941704728343,18,2
128,337941568338874,234,3
129,337941223744409,251,3
130,337941526849731,183,2
131,337941262386153,112,3
132,337941917101411,97,2
133,337941427349674,245,3
134,337941347029547,143,4
135,337941799595656,164,2
136,337941468061287,294,2
137,337941824793250,290,3
138,337941125727544,242,4
139,337941246533086,269,1
140,337941552764945,57,4
141,337941691937709,104,3
142,337941556614344,288,1
143,337941304014482,12,1
144,337941061302054,222,1
145,337941813140125,95,2
146,337941192422474,95,1
147,337941119737848,17,3
148,337941937713286,8,4
149,337941397573733,110,3
150,337941035907327,191,2
151,337941522238483,89,3
152,337941813971222,210,4
153,337941088566533,267,1
154,337941539982289,97,4
155,337941180699638,12,4
156,337941321472770,171,2
157,337941999283715,299,4
158,337941399058493,31,2
159,337941659654726,283,2
160,337941865510332,212,3
161,337941673629704,212,3
162,337941883270364,103,4
163,337941994728565,40,4
164,337941094879441,45,4
165,337941603920660,261,3
166,337941890133878,290,3
167,337941076810877,119,4
168,337941427698658,199,4
169,337941531153376,241,4
170,337941667536220,72,3
171,337941362782673,297,2
172,337941745481084,152,3
173,337941673748256,100,1
174,337941300980611,35,4
175,337941986029261,131,2
176,337941408564945,246,2
177,337941756115019,217,1
178,337941290499358,225,4
179,337941016637935,98,1
180,337941611957829,295,2
181,337941943602614,72,1
182,337941781366553,206,3
183,337941086993572,33,3
184,337941681955943,70,1
185,337941452927519,268,1
186,337941214782707,235,2
187,337941298076745,80,2
188,337941039404875,97,3
189,337941694661561,193,3
190,337941730087607,246,4
191,337941378603087,119,2
192,337941848362801,211,1
193,337941395854630,270,1
194,337941814002696,295,4
195,337941218012465,195,4
196,337941712713642,224,1
197,337941740936348,290,1
198,337941165086074,149,2
199,337941539250190,96,4
200,337941477897663,102,2
201,337941352153661,75,4
202,337941191983005,133,3
203,337941577166787,219,3
204,337941733863079,196,2
205,337941527533565,279,2
206,337941242913449,261,2
207,337941709475825,229,2
208,337941772034483,168,3
209,337941948687693,64,1
210,337941227234340,142,1
211,337941430466663,251,2
212,337941591324404,53,3
213,337941960271335,51,2
214,337941848443882,7,3
215,337941649039988,5,4
216,337941722156576,234,4
217,337941628158023,187,3
218,337941507082922,228,2
219,337941138151187,199,2
220,337941707540174,217,1
221,337941189022006,110,3
222,337941106970634,263,1
223,337941758472459,226,1
224,337941706251401,285,2
225,337941033973297,251,4
226,337941964639057,105,4
227,337941322280628,164,4
228,337941183455475,177,2
229,337941887195310,251,4
230,337941730450276,56,1
231,337941321480393,266,2
232,337941292889150,75,1
233,337941998222029,49,1
234,337941796680618,177,3
235,337941088715262,75,2
236,337941208600113,121,2
237,337941793295865,152,1
238,337941849680219,153,4
239,337941784230251,142,3
240,337941680757100,179,4
241,337941848601620,190,1
242,337941797041562,17,3
243,337941777527127,165,4
244,337941775537052,183,3
245,337941102016283,252,3
246,337941986369071,207,4
247,337941820263464,285,2
248,337941367019295,179,2
249,337941299999754,140,3
250,337941650461386,26,3
